Estado,Marzo_2020,Abril_2020,Mayo_2020,Junio_2020,Julio_2020,Agosto_2020,Septiembre_2020,Octubre_2020,Noviembre_2020,Diciembre_2020,Enero_2021,TOTAL POR ESTADO
AGUASCALIENTES,0,8,41,116,118,162,205,201,305,277,125,1558
BAJA CALIFORNIA,5,395,959,769,725,481,346,297,564,1237,733,6511
BAJA CALIFORNIA SUR,2,17,21,45,144,220,121,74,64,81,97,886
CAMPECHE,0,20,67,195,397,197,51,18,12,20,20,997
CHIAPAS,0,11,186,516,315,96,25,16,10,34,69,1278
CHIHUAHUA,0,155,332,289,289,271,262,1076,1413,508,189,4784
DISTRITO FEDERAL,28,934,3075,2592,1686,1390,1291,1358,1823,3505,2835,20517
COAHUILA,3,44,56,219,609,675,425,532,976,750,640,4929
COLIMA,0,3,22,50,139,208,149,135,56,37,63,862
DURANGO,3,6,43,115,170,178,161,266,409,286,152,1789
GUANAJUATO,0,30,127,576,1130,870,458,393,686,1284,1059,6613
GUERRERO,2,61,444,664,444,304,236,238,142,202,202,2939
HIDALGO,3,49,335,309,427,568,351,325,430,730,708,4235
JALISCO,4,31,137,673,927,909,793,763,786,1277,1363,7663
MEXICO,10,855,2859,3410,2634,1896,1402,1366,1770,3501,2954,22657
MICHOACAN,1,51,170,365,320,500,485,342,243,357,435,3269
MORELOS,3,100,394,238,134,153,108,101,90,178,200,1699
NAYARIT,1,10,62,159,198,220,167,114,58,74,142,1205
NUEVO LEON,0,22,103,295,993,1074,784,777,667,670,726,6111
OAXACA,1,23,223,463,443,293,198,192,152,188,205,2381
PUEBLA,3,157,551,1098,1447,968,546,360,344,495,653,6622
QUERETARO,1,10,102,167,188,255,242,222,316,555,469,2527
QUINTANA ROO,5,177,240,234,501,409,205,119,73,89,133,2185
SAN LUIS POTOSI,3,7,51,159,526,750,428,390,460,417,349,3540
SINALOA,5,193,510,932,884,596,390,304,251,231,234,4530
SONORA,1,37,261,1162,1284,401,168,199,336,735,471,5055
TABASCO,1,158,537,590,984,484,181,96,53,152,158,3394
TAMAULIPAS,0,24,117,459,1019,677,344,234,225,320,277,3696
TLAXCALA,0,35,159,268,405,220,85,76,50,148,261,1707
VERACRUZ,1,91,819,1161,1571,1075,686,407,308,370,398,6887
YUCATAN,0,38,171,273,642,647,230,193,141,157,95,2587
ZACATECAS,1,8,28,71,164,278,214,247,450,342,195,1998
